,,Personal vehicles,Personal vehicles,Personal vehicles,Personal vehicles,Personal vehicles,Personal vehicles,Personal vehicles,Personal vehicles,Personal vehicles,Personal vehicles,Personal vehicles,Personal vehicles,Personal vehicles,Personal vehicles,,Fleet vehicles,Fleet vehicles,Fleet vehicles,Fleet vehicles,Fleet vehicles,Fleet vehicles,Fleet vehicles,Fleet vehicles,Fleet vehicles,Fleet vehicles,Fleet vehicles,Fleet vehicles,Fleet vehicles,Fleet vehicles,,,,,,
,,Sedan,Sedan,Sedan,Sedan,Sedan,Sedan,Sedan,SUV&Crossover&MPV,SUV&Crossover&MPV,SUV&Crossover&MPV,SUV&Crossover&MPV,SUV&Crossover&MPV,SUV&Crossover&MPV,SUV&Crossover&MPV,,Sedan,Sedan,Sedan,Sedan,Sedan,Sedan,Sedan,SUV&Crossover&MPV,,SUV&Crossover&MPV,SUV&Crossover&MPV,SUV&Crossover&MPV,SUV&Crossover&MPV,SUV&Crossover&MPV,,,,,,
,Year,ICEV,ICEV-Low,PHEV,BEV-Sht,BEV-Mid,BEV-Lng,FCEV,ICEV,ICEV-Low,PHEV,BEV-Sht,BEV-Mid,BEV-Lng,FCEV,Year,ICEV,ICEV-Low,PHEV,BEV-Sht,BEV-Mid,BEV-Lng,FCEV,ICEV,ICEV-Low,PHEV,BEV-Sht,BEV-Mid,BEV-Lng,FCEV,,Adjustment,Adjustment,Adjustment,Weight,Weight
Calibration year,2016," 31,379 "," 31,568 "," 138,759 "," 316,334 "," 302,166 "," 1,000,000 "," 1,000,000 ", -   ," 54,602 "," 60,754 "," 302,329 "," 313,836 "," 1,000,000 "," 1,000,000 ",2016, -   ," 59,829 "," 44,970 "," (550,261)"," (196,555)"," 1,000,000 "," 1,000,000 "," (63,568)"," 26,723 "," (76,631)"," (548,192)"," (306,649)"," 1,000,000 "," 1,000,000 ",1,35%,60%,60%,10%,
Calibration year,2017," 12,576 "," 12,077 "," 109,922 "," 229,238 "," 251,722 "," 1,000,000 "," 1,000,000 ", -   ," 53,970 "," 92,692 "," 272,285 "," 219,721 "," 1,000,000 "," 1,000,000 ",2017, -   ," 48,779 "," 49,111 "," (503,664)"," (176,455)"," 1,000,000 "," 1,000,000 "," (53,190)"," 27,096 "," 31,724 "," (472,480)"," (247,064)"," 1,000,000 "," 1,000,000 ",2,70%,65%,75%,10%,25%
Calibration year,2018," 23,056 "," 22,524 "," 80,583 "," 248,007 "," 265,874 "," 261,611 "," 1,000,000 ", -   ," 44,099 "," 52,720 "," 245,951 "," 214,914 "," 169,940 "," 1,000,000 ",2018, -   ," 54,783 "," 37,168 "," (138,413)"," 12,869 "," (43,479)"," 1,000,000 "," (69,081)"," 28,895 "," (5,850)"," (260,169)"," (72,961)"," (182,250)"," 1,000,000 ",3,90%,80%,85%,20%,27%
Calibration year,2019," 22,524 "," 38,271 "," 60,166 "," 259,352 "," 232,425 "," 208,218 "," 1,000,000 ", -   ," 40,559 "," 39,959 "," 268,063 "," 194,507 "," 135,923 "," 1,000,000 ",2019, -   ," 51,381 "," 9,774 "," 104,853 "," 17,009 "," (84,789)"," 1,000,000 "," (57,895)"," 29,433 "," (25,319)"," 26,516 "," (44,007)"," (175,416)"," 1,000,000 ",4,, -   ,,60%,48%
Calibration year,2020," 16,464 "," 18,055 "," 45,233 "," 234,813 "," 207,335 "," 164,919 "," 1,000,000 ", -   ," 25,339 "," 16,974 "," 231,182 "," 202,071 "," 126,263 "," 1,000,000 ",2020, -   ," 49,821 "," (23,615)"," (177,993)"," 20,940 "," (55,501)"," 1,000,000 "," (54,682)"," 17,804 "," (99,596)"," 18,055 "," (11,596)"," (131,415)"," 1,000,000 ",5,, -   ,,90%,100%
,2021," 16,745 "," 17,454 "," 45,283 "," 227,261 "," 210,903 "," 142,923 "," 1,000,000 ", -   ," 24,427 "," 25,382 "," 233,659 "," 178,580 "," 111,021 "," 1,000,000 ",2021, -   ," 47,960 "," (8,536)"," 40,953 "," 68,594 "," (73,724)"," 1,000,000 "," (54,848)"," 15,221 "," (38,732)"," 83,705 "," 32,340 "," (128,609)"," 1,000,000 ",6,, -   ,,,
,2022," 16,173 "," 16,852 "," 41,213 "," 222,437 "," 204,496 "," 125,569 "," 1,000,000 ", -   ," 20,360 "," 22,760 "," 228,631 "," 171,052 "," 101,357 "," 1,000,000 ",2022, -   ," 46,305 "," (14,453)"," 95,286 "," 93,175 "," (78,225)"," 1,000,000 "," (55,015)"," 12,638 "," (40,457)"," 143,798 "," 62,469 "," (118,410)"," 1,000,000 ",7,, -   ,,,
,2023," 15,693 "," 16,250 "," 38,052 "," 218,343 "," 199,104 "," 112,368 "," 1,000,000 ", -   ," 16,970 "," 20,708 "," 224,363 "," 164,789 "," 93,669 "," 1,000,000 ",2023, -   ," 44,650 "," (19,577)"," 142,352 "," 114,468 "," (82,124)"," 1,000,000 "," (55,182)"," 10,055 "," (41,974)"," 195,830 "," 88,545 "," (109,597)"," 1,000,000 ",8,, -   ,,,
