Year,Annual sales,Household numbers,GDP per capita ($2020 USD),Purchase Privilage,CAFC Target Multiplier,NEV Target,NEV Credit multiplier,PEF,Fuel price(CNY/Liter),ICEV-Low Fuel Cosum Rate,ICEV Cost Parameter_a,ICEV Cost Parameter_b,ICEV Cost Parameter_c,Battery Cost (benchmark = 2017),Sed BEV Base Cost Index,Sed PHEV Base Cost Index,SUV BEV Base Cost Index,SUV PHEV Base Cost Index,Elec Consum efficiency improvement,PEV mark-up factor,Range Effective utilization,Home Charg Availability,Public Charg availability,Fast-charg Availability in Public,Fast-charging power (kW),Public H2 station availability,Hydrogen price (CNY/kg),Fuel Cell System Cost (benchmark=2020),Motor Cost ($/KW),Hydrogen Storage Cost ($/Kg),Hydrogen Consum efficiency improvement
2017," 23,901,316 "," 447,893,902 "," 8,841.29 ",-84000,128.0%,0.0%,1.00,4.057,7.042, 1.199 ,1.220, 1.243 , 1.455 ,1.613, 0.615 , 1.904 , 1.072 , 1.866 , 1.114 , 1.300 ,0.750,39.3%,5.0%,41.9%,30,1.0%,100,1.800,1.20,1065.60, 1.000 
2018," 21,957,477 "," 452,713,415 "," 9,395.29 ",-50000,132.0%,8.0%,1.00,4.031,7.593, 1.158 ,1.127, 1.150 , 1.304 ,1.321, 0.609 , 1.884 , 1.060 , 1.844 , 1.114 , 1.300 ,0.808,41.7%,5.0%,41.9%,30,1.0%,90,1.500,1.13,932.40, 1.000 
2019," 20,544,624 "," 453,533,937 "," 9,933.65 ",-40000,121.0%,10.0%,1.00,4.095,7.329, 1.118 ,1.034, 1.057 , 1.164 ,1.146, 0.603 , 1.866 , 1.047 , 1.822 , 1.114 , 1.300 ,0.842,44.2%,5.0%,41.9%,40,1.0%,75,1.200,1.07,799.20, 1.000 
2020," 18,944,782 "," 454,959,532 "," 9,776.55 ",-30000,110.0%,12.0%,1.00,4.160,6.585, 1.000 ,1.000, 1.000 , 1.000 ,1.000, 0.598 , 1.850 , 1.037 , 1.804 , 1.000 , 1.300 ,0.844,44.4%,5.8%,42.8%,50,1.9%,70,1.000,1.00,666.00, 1.000 
2021," 21,282,507 "," 455,871,581 "," 10,173.72 ",-24520,123.0%,14.0%,1.00,4.266,6.748, 0.982 ,0.981, 0.966 , 0.914 ,0.975, 0.611 , 1.829 , 1.036 , 1.784 , 0.994 , 1.340 ,0.847,44.9%,6.6%,43.7%,53,2.9%,69,0.970,0.95,622.80, 0.954 
2022," 21,609,748 "," 457,004,086 "," 10,570.89 ",-21939,120.0%,16.0%,1.00,4.376,6.847, 0.964 ,0.967, 0.943 , 0.836 ,0.950, 0.625 , 1.807 , 1.035 , 1.764 , 0.987 , 1.358 ,0.850,45.5%,7.4%,44.6%,57,3.8%,68,0.940,0.90,579.60, 0.908 
2023," 22,184,217 "," 458,457,947 "," 10,968.06 ",-19229,115.0%,18.0%,1.00,4.490,7.000, 0.946 ,0.957, 0.925 , 0.765 ,0.926, 0.638 , 1.785 , 1.033 , 1.744 , 0.981 , 1.375 ,0.853,46.1%,8.2%,45.5%,61,4.7%,67,0.910,0.85,536.40, 0.862 
2024," 22,772,902 "," 459,642,205 "," 11,365.24 ",-16386,108.0%,21.1%,0.90,4.609,7.105, 0.928 ,0.949, 0.911 , 0.701 ,0.901, 0.652 , 1.764 , 1.032 , 1.724 , 0.975 , 1.390 ,0.856,46.8%,9.0%,46.4%,67,5.7%,65,0.880,0.80,493.20, 0.815 
2025," 23,339,922 "," 460,243,779 "," 11,762.41 ",-13496,100.0%,24.3%,0.80,4.733,7.189, 0.910 ,0.942, 0.899 , 0.644 ,0.876, 0.665 , 1.742 , 1.031 , 1.704 , 0.969 , 1.404 ,0.858,47.5%,9.8%,47.3%,73,6.6%,64,0.850,0.75,450.00, 0.769 
2026," 23,824,319 "," 460,805,546 "," 12,149.40 ",-10685,96.0%,27.4%,0.70,4.862,7.280, 0.892 ,0.936, 0.888 , 0.593 ,0.856, 0.678 , 1.720 , 1.030 , 1.683 , 0.952 , 1.417 ,0.861,48.2%,10.6%,48.2%,80,7.5%,63,0.820,0.75,442.64, 0.762 
2027," 24,369,695 "," 461,248,738 "," 12,536.38 ",-8090,92.0%,30.6%,0.60,4.996,7.347, 0.874 ,0.931, 0.880 , 0.549 ,0.837, 0.692 , 1.699 , 1.028 , 1.663 , 0.936 , 1.429 ,0.864,49.0%,11.5%,49.2%,88,8.5%,62,0.790,0.75,435.28, 0.755 
2028," 24,948,353 "," 461,639,714 "," 12,923.37 ",-5826,88.0%,33.7%,0.50,5.135,7.418, 0.856 ,0.926, 0.872 , 0.509 ,0.818, 0.705 , 1.677 , 1.027 , 1.643 , 0.919 , 1.440 ,0.867,49.9%,12.3%,50.1%,96,9.4%,61,0.760,0.75,427.92, 0.748 
2029," 25,493,601 "," 461,925,081 "," 13,310.36 ",-3969,84.0%,36.9%,0.40,5.280,7.478, 0.838 ,0.922, 0.865 , 0.475 ,0.798, 0.719 , 1.655 , 1.026 , 1.623 , 0.904 , 1.450 ,0.869,50.7%,13.1%,51.0%,105,10.4%,60,0.730,0.75,420.56, 0.740 
2030," 25,997,854 "," 462,024,311 "," 13,697.35 ",-2547,80.0%,40.0%,0.30,5.431,7.542, 0.820 ,0.918, 0.858 , 0.446 ,0.779, 0.732 , 1.633 , 1.025 , 1.603 , 0.888 , 1.459 ,0.872,51.6%,13.9%,51.9%,115,11.3%,58,0.700,0.75,413.20, 0.733 
2031," 26,532,550 "," 461,943,981 "," 14,043.60 ",-1535,79.5%,40.0%,0.20,5.550,7.590, 0.805 ,0.915, 0.852 , 0.421 ,0.759, 0.745 , 1.612 , 1.023 , 1.583 , 0.883 , 1.467 ,0.875,52.5%,14.7%,52.8%,125,12.2%,57,0.670,0.75,405.84, 0.726 
2032," 27,061,781 "," 461,748,710 "," 14,389.85 ",-865,79.0%,40.0%,0.10,5.673,7.652, 0.793 ,0.911, 0.847 , 0.400 ,0.740, 0.759 , 1.590 , 1.022 , 1.563 , 0.879 , 1.474 ,0.878,53.5%,15.5%,53.7%,136,13.2%,56,0.640,0.75,398.48, 0.719 
