,,Phase 4 ,,Phase 5,,,Not consider yet,,,,,
Makes & Models,Vehicle Product,FC Limit (L/100km),CD Mode Elec Target 1(kWh/100km),CD Mode Elec Target 2(kWh/100km),CD Mode Elec Target 1 (kWh/100km) for BEV/PHEV-Fuel Cell System Battery Rated Power (kW) (FCEV),BEV/PHEV/FCEV Standard Credit,Elec Consp Adjustment Factor,Energy Density Adjustment,NEV Credit Adjustment,NEV Credit,Efficient ICEV multiplier,
Sedan,ICE-Hig,,0,0,0,0,0,0,0,,,
Sedan,ICE-Avg,,0,0,0,0,0,0,0,,,
Sedan,ICE-Low,,0,0,0,0,0,0,0,,,
Sedan,PHEV,,,,,,,0,0,,0,
Sedan,BEV-Sht,,,,,,,1,,,0,
Sedan,BEV-Mid,,,,,,,1,,,0,
Sedan,BEV-Lng,,,,,,,1,,,0,
Sedan,FCEV,,0,0,,,0,0,0,,0,
"SUV, Crossover, and MPV",ICE-Hig,,0,0,0,0,0,0,0,,,
"SUV, Crossover, and MPV",ICE-Avg,,0,0,0,0,0,0,0,,,
"SUV, Crossover, and MPV",ICE-Low,,0,0,0,0,0,0,0,,,
"SUV, Crossover, and MPV",PHEV,,,,,,,0,0,,0,
"SUV, Crossover, and MPV",BEV-Sht,,,,,,,0,,,0,
"SUV, Crossover, and MPV",BEV-Mid,,,,,,,1,,,0,
"SUV, Crossover, and MPV",BEV-Lng,,,,,,,1,,,0,
"SUV, Crossover, and MPV",FCEV,,0,0,,,0,0,0,,0,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Phase 4 CAFC (WLTC adjusted),,,,Phase 5 CAFC Target,,,,,CAFC Multiplier,,
,CM,FC Target,FC Limit,,CM,a,b,c,,Year,PEV/FCEV,ICEV
,0,,,,1090,-,-,4.02,,2017,5,1
,750,,,,1090~2510,0.0018,-1415,4.6,,2018,3,1
,865,,,,2510,-,-,6.57,,2019,3,1
,980,,,,,,,,,2020,2,1
,1090,,,,,,,,,2021,2,1.4
,1205,,,,Phase 5 CAFC Limit,,,,,2022,1.8,1.3
,1320,,,,CM,a,b,c,,2023,1.6,1.2
,1430,,,,750,-,-,5.82,,2024,1.3,1.1
,1540,,,,980,0.0041,-1415,8.55,,2025,1,1
,1660,,,,2510,-,-,13.04,,,,
,1770,,,,,,,,,,,
,1880,,,,,,,,,,,
,2000,,,,,,,,,,,
,2110,,,,,,,,,,,
,2280,,,,,,,,,,,
,2510,,,,,,,,,,,
,,,,,,,,,,,,
,Phase 4 CAFC,,,,,,,,,,,
,CM,FC Target,FC Limit,,,,,,,,,
,0,4.3,5.5,,,,,,,,,
,750,4.3,5.5,,,,,,,,,
,865,4.3,5.8,,,,,,,,,
,980,4.5,6.1,,,,,,,,,
,1090,4.7,6.5,,,,,,,,,
,1205,4.9,6.9,,,,,,,,,
,1320,5.1,7.3,,,,,,,,,
,1430,5.3,7.7,,,,,,,,,
,1540,5.5,8.1,,,,,,,,,
,1660,5.7,8.5,,,,,,,,,
,1770,5.9,8.9,,,,,,,,,
,1880,6.2,9.3,,,,,,,,,
,2000,6.4,9.7,,,,,,,,,
,2110,6.6,10.1,,,,,,,,,
,2280,7,10.8,,,,,,,,,
,2510,7.3,11.5,,,,,,,,,
